Tornado,72,61,afternoon,easy listening
Ash,87,98,night,dark ambient
Squall,75,61,night,piano
Squall,77,82,night,classic
Squall,95,104,evening,classic
Snow,91,71,evening,classic
Drizzle,97,60,morning,lo-fi
Ash,99,63,morning,piano
Mist,96,89,evening,lo-fi
Clouds,88,79,afternoon,blues
Smoke,77,81,evening,piano
Ash,96,76,afternoon,dark ambient
Mist,86,75,night,easy listening
Tornado,74,61,night,easy listening
Squall,74,98,morning,classic
Squall,72,97,evening,piano
Ash,76,101,afternoon,piano
Fog,71,97,morning,chill
Squall,75,96,evening,classic
Squall,91,68,afternoon,piano
Rain,82,81,afternoon,lo-fi
Squall,87,106,night,chill
Fog,90,94,afternoon,blues
Dust,84,84,evening,piano
Drizzle,88,60,afternoon,lo-fi
Ash,87,109,morning,dark ambient
Drizzle,70,73,afternoon,piano
Ash,99,107,night,dark ambient
Smoke,74,83,night,piano
Rain,84,89,afternoon,lo-fi
Ash,69,110,morning,dark ambient
Haze,100,84,night,blues
Ash,94,81,evening,dark ambient
Haze,72,90,afternoon,blues
Thunderstorm,79,75,morning,piano
Dust,86,107,morning,dark ambient
Thunderstorm,81,70,afternoon,classic
Snow,88,92,afternoon,classic
Ash,98,102,morning,dark ambient
Sand,98,66,morning,chill
Snow,81,83,evening,classic
Dust,64,80,afternoon,chill
Fog,79,107,night,blues
Sand,81,109,night,chill
Haze,64,91,morning,piano
Sand,91,102,afternoon,blues
Fog,95,81,night,blues
Dust,92,82,evening,dark ambient
Clouds,82,98,afternoon,chill
Clear,64,110,morning,easy listening
